Latex,Mathml,Description
,&#x00020;,SPACE
\mathbb{J},&#x1D541;,"= \mathds{J} (dsfont), matMATHEMATICAL DOUBLE-STRUCK CAPITAL J"
\mathbb{K},&#x1D542;,"= \mathds{K} (dsfont), matMATHEMATICAL DOUBLE-STRUCK CAPITAL K"
\mathbb{L},&#x1D543;,"= \mathds{L} (dsfont), matMATHEMATICAL DOUBLE-STRUCK CAPITAL L"
\mathbb{M},&#x1D544;,"= \mathds{M} (dsfont), matMATHEMATICAL DOUBLE-STRUCK CAPITAL M"
\mathbb{O},&#x1D546;,"= \mathds{O} (dsfont), matMATHEMATICAL DOUBLE-STRUCK CAPITAL O"
\mathbb{S},&#x1D54A;,"= \mathds{S} (dsfont), matMATHEMATICAL DOUBLE-STRUCK CAPITAL S"
\mathbb{T},&#x1D54B;,"= \mathds{T} (dsfont), matMATHEMATICAL DOUBLE-STRUCK CAPITAL T"
\mathbb{U},&#x1D54C;,"= \mathds{U} (dsfont), matMATHEMATICAL DOUBLE-STRUCK CAPITAL U"
\mathbb{V},&#x1D54D;,"= \mathds{V} (dsfont), matMATHEMATICAL DOUBLE-STRUCK CAPITAL V"
\mathbb{W},&#x1D54E;,"= \mathds{W} (dsfont), matMATHEMATICAL DOUBLE-STRUCK CAPITAL W"
\mathbb{X},&#x1D54F;,"= \mathds{X} (dsfont), matMATHEMATICAL DOUBLE-STRUCK CAPITAL X"
\mathbb{Y},&#x1D550;,"= \mathds{Y} (dsfont), matMATHEMATICAL DOUBLE-STRUCK CAPITAL Y"
\mathbb{a},&#x1D552;,MATHEMATICAL DOUBLE-STRUCK SMALL A
\mathbb{b},&#x1D553;,MATHEMATICAL DOUBLE-STRUCK SMALL B
\mathbb{c},&#x1D554;,MATHEMATICAL DOUBLE-STRUCK SMALL C
\mathbb{d},&#x1D555;,MATHEMATICAL DOUBLE-STRUCK SMALL D
\mathbb{e},&#x1D556;,MATHEMATICAL DOUBLE-STRUCK SMALL E
\mathbb{f},&#x1D557;,MATHEMATICAL DOUBLE-STRUCK SMALL F
\mathbb{g},&#x1D558;,MATHEMATICAL DOUBLE-STRUCK SMALL G
\mathbb{h},&#x1D559;,MATHEMATICAL DOUBLE-STRUCK SMALL H
\mathbb{i},&#x1D55A;,MATHEMATICAL DOUBLE-STRUCK SMALL I
\mathbb{j},&#x1D55B;,MATHEMATICAL DOUBLE-STRUCK SMALL J
\mathbb{k},&#x1D55C;,"= \Bbbk (amssymb), MATHEMATICAL DOUBLE-STRUCK SMALL K"
\mathbb{l},&#x1D55D;,MATHEMATICAL DOUBLE-STRUCK SMALL L
\mathbb{m},&#x1D55E;,MATHEMATICAL DOUBLE-STRUCK SMALL M
\mathbb{n},&#x1D55F;,MATHEMATICAL DOUBLE-STRUCK SMALL N
\mathbb{o},&#x1D560;,MATHEMATICAL DOUBLE-STRUCK SMALL O
\mathbb{p},&#x1D561;,MATHEMATICAL DOUBLE-STRUCK SMALL P
\mathbb{q},&#x1D562;,MATHEMATICAL DOUBLE-STRUCK SMALL Q
\mathbb{r},&#x1D563;,MATHEMATICAL DOUBLE-STRUCK SMALL R
\mathbb{s},&#x1D564;,MATHEMATICAL DOUBLE-STRUCK SMALL S
\mathbb{t},&#x1D565;,MATHEMATICAL DOUBLE-STRUCK SMALL T
\mathbb{u},&#x1D566;,MATHEMATICAL DOUBLE-STRUCK SMALL U
\mathbb{v},&#x1D567;,MATHEMATICAL DOUBLE-STRUCK SMALL V
\mathbb{w},&#x1D568;,MATHEMATICAL DOUBLE-STRUCK SMALL W
\mathbb{x},&#x1D569;,MATHEMATICAL DOUBLE-STRUCK SMALL X
\mathbb{y},&#x1D56A;,MATHEMATICAL DOUBLE-STRUCK SMALL Y
\mathbb{z},&#x1D56B;,MATHEMATICAL DOUBLE-STRUCK SMALL Z
,&#x1D56C;,MATHEMATICAL BOLD FRAKTUR CAPITAL A
,&#x1D56D;,MATHEMATICAL BOLD FRAKTUR CAPITAL B
,&#x1D56E;,MATHEMATICAL BOLD FRAKTUR CAPITAL C
,&#x1D56F;,MATHEMATICAL BOLD FRAKTUR CAPITAL D
,&#x1D570;,MATHEMATICAL BOLD FRAKTUR CAPITAL E
,&#x1D571;,MATHEMATICAL BOLD FRAKTUR CAPITAL F
,&#x1D572;,MATHEMATICAL BOLD FRAKTUR CAPITAL G
,&#x1D573;,MATHEMATICAL BOLD FRAKTUR CAPITAL H
,&#x1D574;,MATHEMATICAL BOLD FRAKTUR CAPITAL I
,&#x1D575;,MATHEMATICAL BOLD FRAKTUR CAPITAL J
,&#x1D576;,MATHEMATICAL BOLD FRAKTUR CAPITAL K
,&#x1D577;,MATHEMATICAL BOLD FRAKTUR CAPITAL L
,&#x1D578;,MATHEMATICAL BOLD FRAKTUR CAPITAL M
,&#x1D579;,MATHEMATICAL BOLD FRAKTUR CAPITAL N
,&#x1D57A;,MATHEMATICAL BOLD FRAKTUR CAPITAL O
,&#x1D57B;,MATHEMATICAL BOLD FRAKTUR CAPITAL P
,&#x1D57C;,MATHEMATICAL BOLD FRAKTUR CAPITAL Q
,&#x1D57D;,MATHEMATICAL BOLD FRAKTUR CAPITAL R
,&#x1D57E;,MATHEMATICAL BOLD FRAKTUR CAPITAL S
,&#x1D57F;,MATHEMATICAL BOLD FRAKTUR CAPITAL T
,&#x1D580;,MATHEMATICAL BOLD FRAKTUR CAPITAL U
,&#x1D581;,MATHEMATICAL BOLD FRAKTUR CAPITAL V
,&#x1D582;,MATHEMATICAL BOLD FRAKTUR CAPITAL W
,&#x1D583;,MATHEMATICAL BOLD FRAKTUR CAPITAL X
,&#x1D584;,MATHEMATICAL BOLD FRAKTUR CAPITAL Y
,&#x1D585;,MATHEMATICAL BOLD FRAKTUR CAPITAL Z
,&#x1D586;,MATHEMATICAL BOLD FRAKTUR SMALL A
,&#x1D587;,MATHEMATICAL BOLD FRAKTUR SMALL B
,&#x1D588;,MATHEMATICAL BOLD FRAKTUR SMALL C
,&#x1D589;,MATHEMATICAL BOLD FRAKTUR SMALL D
,&#x1D58A;,MATHEMATICAL BOLD FRAKTUR SMALL E
,&#x1D58B;,MATHEMATICAL BOLD FRAKTUR SMALL F
,&#x1D58C;,MATHEMATICAL BOLD FRAKTUR SMALL G
,&#x1D58D;,MATHEMATICAL BOLD FRAKTUR SMALL H
,&#x1D58E;,MATHEMATICAL BOLD FRAKTUR SMALL I
,&#x1D58F;,MATHEMATICAL BOLD FRAKTUR SMALL J
,&#x1D590;,MATHEMATICAL BOLD FRAKTUR SMALL K
,&#x1D591;,MATHEMATICAL BOLD FRAKTUR SMALL L
,&#x1D592;,MATHEMATICAL BOLD FRAKTUR SMALL M
,&#x1D593;,MATHEMATICAL BOLD FRAKTUR SMALL N
,&#x1D594;,MATHEMATICAL BOLD FRAKTUR SMALL O
,&#x1D595;,MATHEMATICAL BOLD FRAKTUR SMALL P
,&#x1D596;,MATHEMATICAL BOLD FRAKTUR SMALL Q
,&#x1D597;,MATHEMATICAL BOLD FRAKTUR SMALL R
,&#x1D598;,MATHEMATICAL BOLD FRAKTUR SMALL S
,&#x1D599;,MATHEMATICAL BOLD FRAKTUR SMALL T
,&#x1D59A;,MATHEMATICAL BOLD FRAKTUR SMALL U
,&#x1D59B;,MATHEMATICAL BOLD FRAKTUR SMALL V
,&#x1D59C;,MATHEMATICAL BOLD FRAKTUR SMALL W
,&#x1D59D;,MATHEMATICAL BOLD FRAKTUR SMALL X
,&#x1D59E;,MATHEMATICAL BOLD FRAKTUR SMALL Y
,&#x1D59F;,MATHEMATICAL BOLD FRAKTUR SMALL Z
\mathsf{A},&#x1D5A0;,MATHEMATICAL SANS-SERIF CAPITAL A
\mathsf{B},&#x1D5A1;,MATHEMATICAL SANS-SERIF CAPITAL B
\mathsf{C},&#x1D5A2;,MATHEMATICAL SANS-SERIF CAPITAL C
\mathsf{D},&#x1D5A3;,MATHEMATICAL SANS-SERIF CAPITAL D
\mathsf{E},&#x1D5A4;,MATHEMATICAL SANS-SERIF CAPITAL E
\mathsf{F},&#x1D5A5;,MATHEMATICAL SANS-SERIF CAPITAL F
\mathsf{G},&#x1D5A6;,MATHEMATICAL SANS-SERIF CAPITAL G
\mathsf{H},&#x1D5A7;,MATHEMATICAL SANS-SERIF CAPITAL H
\mathsf{I},&#x1D5A8;,MATHEMATICAL SANS-SERIF CAPITAL I
\mathsf{J},&#x1D5A9;,MATHEMATICAL SANS-SERIF CAPITAL J
\mathsf{K},&#x1D5AA;,MATHEMATICAL SANS-SERIF CAPITAL K
\mathsf{L},&#x1D5AB;,MATHEMATICAL SANS-SERIF CAPITAL L
\mathsf{M},&#x1D5AC;,MATHEMATICAL SANS-SERIF CAPITAL M
\mathsf{N},&#x1D5AD;,MATHEMATICAL SANS-SERIF CAPITAL N
\mathsf{O},&#x1D5AE;,MATHEMATICAL SANS-SERIF CAPITAL O
\mathsf{P},&#x1D5AF;,MATHEMATICAL SANS-SERIF CAPITAL P
\mathsf{Q},&#x1D5B0;,MATHEMATICAL SANS-SERIF CAPITAL Q
\mathsf{R},&#x1D5B1;,MATHEMATICAL SANS-SERIF CAPITAL R
\mathsf{S},&#x1D5B2;,MATHEMATICAL SANS-SERIF CAPITAL S
\mathsf{T},&#x1D5B3;,MATHEMATICAL SANS-SERIF CAPITAL T
\mathsf{U},&#x1D5B4;,MATHEMATICAL SANS-SERIF CAPITAL U
\mathsf{V},&#x1D5B5;,MATHEMATICAL SANS-SERIF CAPITAL V
\mathsf{W},&#x1D5B6;,MATHEMATICAL SANS-SERIF CAPITAL W
\mathsf{X},&#x1D5B7;,MATHEMATICAL SANS-SERIF CAPITAL X
\mathsf{Y},&#x1D5B8;,MATHEMATICAL SANS-SERIF CAPITAL Y
\mathsf{Z},&#x1D5B9;,MATHEMATICAL SANS-SERIF CAPITAL Z
\mathsf{a},&#x1D5BA;,MATHEMATICAL SANS-SERIF SMALL A
\mathsf{b},&#x1D5BB;,MATHEMATICAL SANS-SERIF SMALL B
\mathsf{c},&#x1D5BC;,MATHEMATICAL SANS-SERIF SMALL C
\mathsf{d},&#x1D5BD;,MATHEMATICAL SANS-SERIF SMALL D
\mathsf{e},&#x1D5BE;,MATHEMATICAL SANS-SERIF SMALL E
\mathsf{f},&#x1D5BF;,MATHEMATICAL SANS-SERIF SMALL F
\mathsf{g},&#x1D5C0;,MATHEMATICAL SANS-SERIF SMALL G
\mathsf{h},&#x1D5C1;,MATHEMATICAL SANS-SERIF SMALL H
\mathsf{i},&#x1D5C2;,MATHEMATICAL SANS-SERIF SMALL I
\mathsf{j},&#x1D5C3;,MATHEMATICAL SANS-SERIF SMALL J
\mathsf{k},&#x1D5C4;,MATHEMATICAL SANS-SERIF SMALL K
\mathsf{l},&#x1D5C5;,MATHEMATICAL SANS-SERIF SMALL L
\mathsf{m},&#x1D5C6;,MATHEMATICAL SANS-SERIF SMALL M
\mathsf{n},&#x1D5C7;,MATHEMATICAL SANS-SERIF SMALL N
\mathsf{o},&#x1D5C8;,MATHEMATICAL SANS-SERIF SMALL O
\mathsf{p},&#x1D5C9;,MATHEMATICAL SANS-SERIF SMALL P
\mathsf{q},&#x1D5CA;,MATHEMATICAL SANS-SERIF SMALL Q
\mathsf{r},&#x1D5CB;,MATHEMATICAL SANS-SERIF SMALL R
\mathsf{s},&#x1D5CC;,MATHEMATICAL SANS-SERIF SMALL S
\mathsf{t},&#x1D5CD;,MATHEMATICAL SANS-SERIF SMALL T
\mathsf{u},&#x1D5CE;,MATHEMATICAL SANS-SERIF SMALL U
\mathsf{v},&#x1D5CF;,MATHEMATICAL SANS-SERIF SMALL V
\mathsf{w},&#x1D5D0;,MATHEMATICAL SANS-SERIF SMALL W
\mathsf{x},&#x1D5D1;,MATHEMATICAL SANS-SERIF SMALL X
\mathsf{y},&#x1D5D2;,MATHEMATICAL SANS-SERIF SMALL Y
\mathsf{z},&#x1D5D3;,MATHEMATICAL SANS-SERIF SMALL Z
\mathsfbf{A},&#x1D5D4;,MATHEMATICAL SANS-SERIF BOLD CAPITAL A
\mathsfbf{B},&#x1D5D5;,MATHEMATICAL SANS-SERIF BOLD CAPITAL B
\mathsfbf{C},&#x1D5D6;,MATHEMATICAL SANS-SERIF BOLD CAPITAL C
\mathsfbf{D},&#x1D5D7;,MATHEMATICAL SANS-SERIF BOLD CAPITAL D
\mathsfbf{E},&#x1D5D8;,MATHEMATICAL SANS-SERIF BOLD CAPITAL E
\mathsfbf{F},&#x1D5D9;,MATHEMATICAL SANS-SERIF BOLD CAPITAL F
\mathsfbf{G},&#x1D5DA;,MATHEMATICAL SANS-SERIF BOLD CAPITAL G
\mathsfbf{H},&#x1D5DB;,MATHEMATICAL SANS-SERIF BOLD CAPITAL H
\mathsfbf{I},&#x1D5DC;,MATHEMATICAL SANS-SERIF BOLD CAPITAL I
\mathsfbf{J},&#x1D5DD;,MATHEMATICAL SANS-SERIF BOLD CAPITAL J
\mathsfbf{K},&#x1D5DE;,MATHEMATICAL SANS-SERIF BOLD CAPITAL K
\mathsfbf{L},&#x1D5DF;,MATHEMATICAL SANS-SERIF BOLD CAPITAL L
\mathsfbf{M},&#x1D5E0;,MATHEMATICAL SANS-SERIF BOLD CAPITAL M
\mathsfbf{N},&#x1D5E1;,MATHEMATICAL SANS-SERIF BOLD CAPITAL N
\mathsfbf{O},&#x1D5E2;,MATHEMATICAL SANS-SERIF BOLD CAPITAL O
\mathsfbf{P},&#x1D5E3;,MATHEMATICAL SANS-SERIF BOLD CAPITAL P
\mathsfbf{Q},&#x1D5E4;,MATHEMATICAL SANS-SERIF BOLD CAPITAL Q
\mathsfbf{R},&#x1D5E5;,MATHEMATICAL SANS-SERIF BOLD CAPITAL R
\mathsfbf{S},&#x1D5E6;,MATHEMATICAL SANS-SERIF BOLD CAPITAL S
\mathsfbf{T},&#x1D5E7;,MATHEMATICAL SANS-SERIF BOLD CAPITAL T
\mathsfbf{U},&#x1D5E8;,MATHEMATICAL SANS-SERIF BOLD CAPITAL U
\mathsfbf{V},&#x1D5E9;,MATHEMATICAL SANS-SERIF BOLD CAPITAL V
\mathsfbf{W},&#x1D5EA;,MATHEMATICAL SANS-SERIF BOLD CAPITAL W
\mathsfbf{X},&#x1D5EB;,MATHEMATICAL SANS-SERIF BOLD CAPITAL X
\mathsfbf{Y},&#x1D5EC;,MATHEMATICAL SANS-SERIF BOLD CAPITAL Y
\mathsfbf{Z},&#x1D5ED;,MATHEMATICAL SANS-SERIF BOLD CAPITAL Z
\mathsfbf{a},&#x1D5EE;,MATHEMATICAL SANS-SERIF BOLD SMALL A
\mathsfbf{b},&#x1D5EF;,MATHEMATICAL SANS-SERIF BOLD SMALL B
\mathsfbf{c},&#x1D5F0;,MATHEMATICAL SANS-SERIF BOLD SMALL C
\mathsfbf{d},&#x1D5F1;,MATHEMATICAL SANS-SERIF BOLD SMALL D
\mathsfbf{e},&#x1D5F2;,MATHEMATICAL SANS-SERIF BOLD SMALL E
\mathsfbf{f},&#x1D5F3;,MATHEMATICAL SANS-SERIF BOLD SMALL F
\mathsfbf{g},&#x1D5F4;,MATHEMATICAL SANS-SERIF BOLD SMALL G
\mathsfbf{h},&#x1D5F5;,MATHEMATICAL SANS-SERIF BOLD SMALL H
\mathsfbf{i},&#x1D5F6;,MATHEMATICAL SANS-SERIF BOLD SMALL I
\mathsfbf{j},&#x1D5F7;,MATHEMATICAL SANS-SERIF BOLD SMALL J
\mathsfbf{k},&#x1D5F8;,MATHEMATICAL SANS-SERIF BOLD SMALL K
\mathsfbf{l},&#x1D5F9;,MATHEMATICAL SANS-SERIF BOLD SMALL L
\mathsfbf{m},&#x1D5FA;,MATHEMATICAL SANS-SERIF BOLD SMALL M
\mathsfbf{n},&#x1D5FB;,MATHEMATICAL SANS-SERIF BOLD SMALL N
\mathsfbf{o},&#x1D5FC;,MATHEMATICAL SANS-SERIF BOLD SMALL O
\mathsfbf{p},&#x1D5FD;,MATHEMATICAL SANS-SERIF BOLD SMALL P
\mathsfbf{q},&#x1D5FE;,MATHEMATICAL SANS-SERIF BOLD SMALL Q
\mathsfbf{r},&#x1D5FF;,MATHEMATICAL SANS-SERIF BOLD SMALL R
\mathsfbf{s},&#x1D600;,MATHEMATICAL SANS-SERIF BOLD SMALL S
\mathsfbf{t},&#x1D601;,MATHEMATICAL SANS-SERIF BOLD SMALL T
\mathsfbf{u},&#x1D602;,MATHEMATICAL SANS-SERIF BOLD SMALL U
\mathsfbf{v},&#x1D603;,MATHEMATICAL SANS-SERIF BOLD SMALL V
\mathsfbf{w},&#x1D604;,MATHEMATICAL SANS-SERIF BOLD SMALL W
\mathsfbf{x},&#x1D605;,MATHEMATICAL SANS-SERIF BOLD SMALL X
\mathsfbf{y},&#x1D606;,MATHEMATICAL SANS-SERIF BOLD SMALL Y
\mathsfbf{z},&#x1D607;,MATHEMATICAL SANS-SERIF BOLD SMALL Z
\mathsfit{A},&#x1D608;,MATHEMATICAL SANS-SERIF ITALIC CAPITAL A
\mathsfit{B},&#x1D609;,MATHEMATICAL SANS-SERIF ITALIC CAPITAL B
\mathsfit{C},&#x1D60A;,MATHEMATICAL SANS-SERIF ITALIC CAPITAL C
\mathsfit{D},&#x1D60B;,MATHEMATICAL SANS-SERIF ITALIC CAPITAL D
\mathsfit{E},&#x1D60C;,MATHEMATICAL SANS-SERIF ITALIC CAPITAL E
\mathsfit{F},&#x1D60D;,MATHEMATICAL SANS-SERIF ITALIC CAPITAL F
\mathsfit{G},&#x1D60E;,MATHEMATICAL SANS-SERIF ITALIC CAPITAL G
\mathsfit{H},&#x1D60F;,MATHEMATICAL SANS-SERIF ITALIC CAPITAL H
\mathsfit{I},&#x1D610;,MATHEMATICAL SANS-SERIF ITALIC CAPITAL I
\mathsfit{J},&#x1D611;,MATHEMATICAL SANS-SERIF ITALIC CAPITAL J
\mathsfit{K},&#x1D612;,MATHEMATICAL SANS-SERIF ITALIC CAPITAL K
\mathsfit{L},&#x1D613;,MATHEMATICAL SANS-SERIF ITALIC CAPITAL L
\mathsfit{M},&#x1D614;,MATHEMATICAL SANS-SERIF ITALIC CAPITAL M
\mathsfit{N},&#x1D615;,MATHEMATICAL SANS-SERIF ITALIC CAPITAL N
\mathsfit{O},&#x1D616;,MATHEMATICAL SANS-SERIF ITALIC CAPITAL O
\mathsfit{P},&#x1D617;,MATHEMATICAL SANS-SERIF ITALIC CAPITAL P
\mathsfit{Q},&#x1D618;,MATHEMATICAL SANS-SERIF ITALIC CAPITAL Q
\mathsfit{R},&#x1D619;,MATHEMATICAL SANS-SERIF ITALIC CAPITAL R
\mathsfit{S},&#x1D61A;,MATHEMATICAL SANS-SERIF ITALIC CAPITAL S
\mathsfit{T},&#x1D61B;,MATHEMATICAL SANS-SERIF ITALIC CAPITAL T
\mathsfit{U},&#x1D61C;,MATHEMATICAL SANS-SERIF ITALIC CAPITAL U
\mathsfit{V},&#x1D61D;,MATHEMATICAL SANS-SERIF ITALIC CAPITAL V
\mathsfit{W},&#x1D61E;,MATHEMATICAL SANS-SERIF ITALIC CAPITAL W
\mathsfit{X},&#x1D61F;,MATHEMATICAL SANS-SERIF ITALIC CAPITAL X
\mathsfit{Y},&#x1D620;,MATHEMATICAL SANS-SERIF ITALIC CAPITAL Y
\mathsfit{Z},&#x1D621;,MATHEMATICAL SANS-SERIF ITALIC CAPITAL Z
\mathsfit{a},&#x1D622;,MATHEMATICAL SANS-SERIF ITALIC SMALL A
\mathsfit{b},&#x1D623;,MATHEMATICAL SANS-SERIF ITALIC SMALL B
\mathsfit{c},&#x1D624;,MATHEMATICAL SANS-SERIF ITALIC SMALL C
\mathsfit{d},&#x1D625;,MATHEMATICAL SANS-SERIF ITALIC SMALL D
\mathsfit{e},&#x1D626;,MATHEMATICAL SANS-SERIF ITALIC SMALL E
\mathsfit{f},&#x1D627;,MATHEMATICAL SANS-SERIF ITALIC SMALL F
\mathsfit{g},&#x1D628;,MATHEMATICAL SANS-SERIF ITALIC SMALL G
\mathsfit{h},&#x1D629;,MATHEMATICAL SANS-SERIF ITALIC SMALL H
\mathsfit{i},&#x1D62A;,MATHEMATICAL SANS-SERIF ITALIC SMALL I
\mathsfit{j},&#x1D62B;,MATHEMATICAL SANS-SERIF ITALIC SMALL J
\mathsfit{k},&#x1D62C;,MATHEMATICAL SANS-SERIF ITALIC SMALL K
\mathsfit{l},&#x1D62D;,MATHEMATICAL SANS-SERIF ITALIC SMALL L
\mathsfit{m},&#x1D62E;,MATHEMATICAL SANS-SERIF ITALIC SMALL M
\mathsfit{n},&#x1D62F;,MATHEMATICAL SANS-SERIF ITALIC SMALL N
\mathsfit{o},&#x1D630;,MATHEMATICAL SANS-SERIF ITALIC SMALL O
\mathsfit{p},&#x1D631;,MATHEMATICAL SANS-SERIF ITALIC SMALL P
\mathsfit{q},&#x1D632;,MATHEMATICAL SANS-SERIF ITALIC SMALL Q
\mathsfit{r},&#x1D633;,MATHEMATICAL SANS-SERIF ITALIC SMALL R
\mathsfit{s},&#x1D634;,MATHEMATICAL SANS-SERIF ITALIC SMALL S
\mathsfit{t},&#x1D635;,MATHEMATICAL SANS-SERIF ITALIC SMALL T
\mathsfit{u},&#x1D636;,MATHEMATICAL SANS-SERIF ITALIC SMALL U
\mathsfit{v},&#x1D637;,MATHEMATICAL SANS-SERIF ITALIC SMALL V
\mathsfit{w},&#x1D638;,MATHEMATICAL SANS-SERIF ITALIC SMALL W
\mathsfit{x},&#x1D639;,MATHEMATICAL SANS-SERIF ITALIC SMALL X
\mathsfit{y},&#x1D63A;,MATHEMATICAL SANS-SERIF ITALIC SMALL Y
\mathsfit{z},&#x1D63B;,MATHEMATICAL SANS-SERIF ITALIC SMALL Z
\mathsfbfit{A},&#x1D63C;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL A
\mathsfbfit{B},&#x1D63D;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL B
\mathsfbfit{C},&#x1D63E;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL C
\mathsfbfit{D},&#x1D63F;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL D
\mathsfbfit{E},&#x1D640;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL E
\mathsfbfit{F},&#x1D641;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL F
\mathsfbfit{G},&#x1D642;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL G
\mathsfbfit{H},&#x1D643;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL H
\mathsfbfit{I},&#x1D644;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL I
\mathsfbfit{J},&#x1D645;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL J
\mathsfbfit{K},&#x1D646;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL K
\mathsfbfit{L},&#x1D647;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL L
\mathsfbfit{M},&#x1D648;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL M
\mathsfbfit{N},&#x1D649;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL N
\mathsfbfit{O},&#x1D64A;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL O
\mathsfbfit{P},&#x1D64B;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL P
\mathsfbfit{Q},&#x1D64C;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL Q
\mathsfbfit{R},&#x1D64D;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL R
\mathsfbfit{S},&#x1D64E;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL S
\mathsfbfit{T},&#x1D64F;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL T
\mathsfbfit{U},&#x1D650;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL U
\mathsfbfit{V},&#x1D651;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL V
\mathsfbfit{W},&#x1D652;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL W
\mathsfbfit{X},&#x1D653;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL X
\mathsfbfit{Y},&#x1D654;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL Y
\mathsfbfit{Z},&#x1D655;,MATHEMATICAL SANS-SERIF BOLD ITALIC CAPITAL Z
\mathsfbfit{a},&#x1D656;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL A
\mathsfbfit{b},&#x1D657;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL B
\mathsfbfit{c},&#x1D658;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL C
\mathsfbfit{d},&#x1D659;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL D
\mathsfbfit{e},&#x1D65A;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL E
\mathsfbfit{f},&#x1D65B;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL F
\mathsfbfit{g},&#x1D65C;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL G
\mathsfbfit{h},&#x1D65D;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL H
\mathsfbfit{i},&#x1D65E;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL I
\mathsfbfit{j},&#x1D65F;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL J
\mathsfbfit{k},&#x1D660;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL K
\mathsfbfit{l},&#x1D661;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL L
\mathsfbfit{m},&#x1D662;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL M
\mathsfbfit{n},&#x1D663;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL N
\mathsfbfit{o},&#x1D664;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL O
\mathsfbfit{p},&#x1D665;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL P
\mathsfbfit{q},&#x1D666;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL Q
\mathsfbfit{r},&#x1D667;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL R
\mathsfbfit{s},&#x1D668;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL S
\mathsfbfit{t},&#x1D669;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL T
\mathsfbfit{u},&#x1D66A;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL U
\mathsfbfit{v},&#x1D66B;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL V
\mathsfbfit{w},&#x1D66C;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL W
\mathsfbfit{x},&#x1D66D;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL X
\mathsfbfit{y},&#x1D66E;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL Y
\mathsfbfit{z},&#x1D66F;,MATHEMATICAL SANS-SERIF BOLD ITALIC SMALL Z
\mathtt{A},&#x1D670;,MATHEMATICAL MONOSPACE CAPITAL A
\mathtt{B},&#x1D671;,MATHEMATICAL MONOSPACE CAPITAL B
\mathtt{C},&#x1D672;,MATHEMATICAL MONOSPACE CAPITAL C
\mathtt{D},&#x1D673;,MATHEMATICAL MONOSPACE CAPITAL D
\mathtt{E},&#x1D674;,MATHEMATICAL MONOSPACE CAPITAL E
\mathtt{F},&#x1D675;,MATHEMATICAL MONOSPACE CAPITAL F
\mathtt{G},&#x1D676;,MATHEMATICAL MONOSPACE CAPITAL G
\mathtt{H},&#x1D677;,MATHEMATICAL MONOSPACE CAPITAL H
